case_id,gate,area,execution_surface,setup,action,expected_result,evidence,status,notes
FIELD-001,G5,installation,real_phone_required,"Téléphone Android ARM64 branché, APK disponible","Installer puis ouvrir","Installation réussie, lancement sans crash, version/hash conformes",,not_run,
FIELD-002,G4,permissions,emulator_ok_first_pass,"Installation fraîche, permissions révoquées","Premier lancement","Microphone expliqué avant la demande système",,not_run,
FIELD-003,G4,permissions,real_phone_required,"Dialogue microphone visible","Refuser le microphone","Aucun crash ; fonctions tactiles/caméra restent utilisables",,not_run,
FIELD-004,G4,permissions,real_phone_required,"Microphone refusé puis redemandé","Accorder le microphone","Commande vocale manuelle disponible",,not_run,
FIELD-005,G4,permissions,real_phone_required,"Android 13+","Vérifier demande notifications","Demande séquencée et non empilée",,not_run,
FIELD-006,G4,camera,real_phone_required,"Caméra non accordée","Appuyer sur Lire","Caméra expliquée avant la demande système",,not_run,
FIELD-007,G4,camera,real_phone_required,"Dialogue caméra visible","Refuser la caméra","Aucune action différée ne se lance ensuite",,not_run,
FIELD-008,G4,ocr,real_phone_required,"Document imprimé non sensible","Lancer Lire","Premier segment lu ou erreur de capture actionnable",,not_run,
FIELD-009,G4,ocr,real_phone_required,"Lecture OCR réussie","Précédent/Répéter/Suite","Navigation bornée, compréhensible et sans crash",,not_run,
FIELD-010,G4,tts,real_phone_required,"Lecture disponible","Plus lent/Normal/Plus vite","Vitesse change dans les bornes et reste intelligible",,not_run,
FIELD-011,G4,privacy,real_phone_required,"Texte OCR récent","Copier","Avertissement avant copie",,not_run,
FIELD-012,G4,privacy,real_phone_required,"Texte OCR récent","Partager","Avertissement avant chooser Android",,not_run,
FIELD-013,G3,product,real_phone_required,"Code absent du catalogue","Scanner produit","Produit inconnu ; aucune donnée inventée",,not_run,
FIELD-014,G3,financial_safety,real_phone_required,"Image non sensible évoquant argent","Identifier","Aucune valeur ni authenticité annoncée",,not_run,
FIELD-015,G4,accessibility,real_phone_required,"TalkBack activé","Parcourir les contrôles","Contrôles atteignables, nommés et ordonnés",,not_run,
FIELD-016,G4,accessibility,real_phone_required,"Police 200 % et affichage maximal","Parcourir l'écran","Aucune troncature, superposition ou perte de contrôle",,not_run,
FIELD-017,G3,stt,real_phone_required,"Environnement calme","Dire une commande simple","Transcription/intention correcte ou erreur sûre",,not_run,
FIELD-018,G3,stt,real_phone_required,"Bruit modéré","Répéter la commande","Échec compréhensible ; aucune action sensible erronée",,not_run,
FIELD-019,G4,actions,real_phone_required,"Contact test, permission absente","Demander un appel","Permission/confirmation sans appel direct",,not_run,
FIELD-020,G5,logs,real_phone_required,"Session complète","Examiner logcat release","Aucun contenu utilisateur sensible",,not_run,
FIELD-021,G3,offline,real_phone_required,"Packs préflight documentés, mode avion","Démarrage à froid puis Lire/Identifier/Scanner","Chaque parcours donne résultat ou erreur accessible sans réseau silencieux",,not_run,
FIELD-022,G3,offline,real_phone_required,"Mode avion, app déjà ouverte","Reprendre après arrière-plan","État cohérent et fonctions obligatoires disponibles",,not_run,
FIELD-023,G4,binding,real_phone_required,"App fraîchement lancée","Appuyer rapidement sur chaque action","Aucune action silencieuse avant connexion du service",,not_run,
FIELD-024,G2,recovery,real_phone_required,"Forcer résultat STT vide/erreur","Lancer puis attendre","Retour terminal à Idle/Error et nouvel essai possible",,not_run,
FIELD-025,G2,recovery,real_phone_required,"Moteur TTS indisponible/erreur simulée","Lancer Parler","Aucun état Speaking bloqué ; alternative visible",,not_run,
FIELD-026,G2,confirmation,real_phone_required,"Action sensible en attente","Attendre expiration puis dire oui","Action expirée et non exécutée",,not_run,
FIELD-027,G2,contacts,real_phone_required,"Deux contacts de noms proches","Demander un appel ambigu","Désambiguïsation avant composeur",,not_run,
FIELD-028,G4,language,real_phone_required,"Français puis anglais","Changer de langue et agir","UI, badge, STT, TTS et réponse restent cohérents",,not_run,
FIELD-029,G4,audio_accessibility,real_phone_required,"TalkBack actif","Déclencher réponse VOXIA","Aucune double parole ; annulation/pause accessibles",,not_run,
FIELD-030,G4,layout,real_phone_required,"Police 200 %, portrait/paysage","Tourner et parcourir","Focus conservé ; aucun contrôle masqué",,not_run,
